"OCEAN","REGION","MAJOR_GROUP","ORDER","FAMILY","SPECIES"
"Atlantic","Atlantic, Northwest","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BUM"
"Atlantic","Atlantic, Northeast","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BUM"
"Pacific","Pacific, Northwest","PISCES","TETRAODONTIFORMES","MOLIDAE","MOX"
"Pacific","Pacific, Western Central","PISCES","LAMNIFORMES","ALOPIIDAE","THR"
"Atlantic","Atlantic, Eastern Central","PISCES","CARCHARHINIFORMES","CARCHARHINIDAE","FAL"
"Pacific","Pacific, Northeast","PISCES","PISCES MISCELLANEA","","SKX"
"Pacific","Pacific, Northwest","PISCES","BELONIFORMES","EXOCOETIDAE","FLY"
"Pacific","Pacific, Northwest","MOLLUSCA","CEPHALOPODA","OMMASTREPHIDAE","SQJ"
"Pacific","Pacific, Southwest","MOLLUSCA","CEPHALOPODA","OMMASTREPHIDAE","TSQ"
"Pacific","Pacific, Northwest","INVERTEBRATA AQUATICA","HOLOTHUROIDEA","","CUX"
"Pacific","Pacific, Northwest","INVERTEBRATA AQUATICA","INVERTEBRATA AQUATICA MISCELL.","","INV"
"Pacific","Pacific, Northwest","MOLLUSCA","BIVALVIA","PTERIIDAE","OSH"
"Southern","Atlantic, Antarctic","INVERTEBRATA AQUATICA","CNIDARIA","","CNI"
"","Asia - Inland waters","MOLLUSCA","BIVALVIA","CORBICULIDAE","CMJ"
"Pacific","Pacific, Southeast","PISCES","PERCOIDEI","SERRANIDAE","GPS"
"Atlantic","Atlantic, Northeast","PISCES","SCOMBROIDEI","","TUX"
"Pacific","Pacific, Southeast","PISCES","PERCOIDEI","LUTJANIDAE","HUS"
"Pacific","Pacific, Northwest","CRUSTACEA","STOMATOPODA","SQUILLIDAE","SQY"
"Atlantic","Atlantic, Southeast","PISCES","CARCHARHINIFORMES","CARCHARHINIDAE","FAL"
"Indian","Indian Ocean, Western","PISCES","CARCHARHINIFORMES","CARCHARHINIDAE","FAL"
"Indian","Indian Ocean, Eastern","PISCES","CARCHARHINIFORMES","CARCHARHINIDAE","FAL"
"Pacific","Pacific, Eastern Central","PISCES","CARCHARHINIFORMES","CARCHARHINIDAE","FAL"
"Indian","Indian Ocean, Western","PISCES","CARCHARHINIFORMES","SPHYRNIDAE","SPY"
"Indian","Indian Ocean, Eastern","PISCES","CARCHARHINIFORMES","SPHYRNIDAE","SPY"
"Pacific","Pacific, Western Central","PISCES","CARCHARHINIFORMES","SPHYRNIDAE","SPY"
"Pacific","Pacific, Northwest","PISCES","CARCHARHINIFORMES","TRIAKIDAE","THJ"
"Pacific","Pacific, Northwest","PISCES","RAJIFORMES","","SRX"
"Atlantic","Atlantic, Northwest","PISCES","PISCES MISCELLANEA","","MZZ"
"","Asia - Inland waters","PISCES","CYPRINIFORMES","CYPRINIDAE","MUC"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","RACHYCENTRIDAE","CBA"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","CARANGIDAE","RSA"
