"GLOBAL","YEAR","SPECIES","QUANTITY"
"GLOBAL",1950-01-01,"HCL",5000
"GLOBAL",1950-01-01,"HCX",0
"GLOBAL",1950-01-01,"HCZ",0
"GLOBAL",1950-01-01,"HDV",0
"GLOBAL",1950-01-01,"HEP",513946
"GLOBAL",1950-01-01,"HER",2066347
"GLOBAL",1950-01-01,"HFR",0
"GLOBAL",1950-01-01,"HIL",0
"GLOBAL",1950-01-01,"HKB",0
"GLOBAL",1950-01-01,"HKC",47600
"GLOBAL",1950-01-01,"HKE",131600
"GLOBAL",1950-01-01,"HKK",300
"GLOBAL",1950-01-01,"HKN",0
"GLOBAL",1950-01-01,"HKP",10100
"GLOBAL",1950-01-01,"HKR",1554
"GLOBAL",1950-01-01,"HKS",30533
"GLOBAL",1950-01-01,"HKU",0
"GLOBAL",1950-01-01,"HKW",17580
"GLOBAL",1950-01-01,"HKX",0
"GLOBAL",1950-01-01,"HLU",0
"GLOBAL",1950-01-01,"HMC",36700
"GLOBAL",1950-01-01,"HMM",3800
"GLOBAL",1950-01-01,"HMY",0
"GLOBAL",1950-01-01,"HMZ",27700
"GLOBAL",1950-01-01,"HOC",2000
"GLOBAL",1950-01-01,"HOL",0
"GLOBAL",1950-01-01,"HOM",38500
"GLOBAL",1950-01-01,"HON",0
"GLOBAL",1950-01-01,"HPR",0
"GLOBAL",1950-01-01,"HSC",612
"GLOBAL",1950-01-01,"HTN",600
"GLOBAL",1950-01-01,"HUW",2143
"GLOBAL",1950-01-01,"HWH",0
"GLOBAL",1950-01-01,"HWP",0
"GLOBAL",1950-01-01,"HWX",0
"GLOBAL",1950-01-01,"HXQ",0
"GLOBAL",1950-01-01,"HYW",0
"GLOBAL",1950-01-01,"HZK",0
"GLOBAL",1950-01-01,"IAG",6800
"GLOBAL",1950-01-01,"ILI",0
"GLOBAL",1950-01-01,"ILS",0
"GLOBAL",1950-01-01,"IMS",975
"GLOBAL",1950-01-01,"IMY",0
"GLOBAL",1950-01-01,"INV",0
"GLOBAL",1950-01-01,"IOS",14500
"GLOBAL",1950-01-01,"ISC",0
"GLOBAL",1950-01-01,"ITE",0
"GLOBAL",1950-01-01,"ITF",0
"GLOBAL",1950-01-01,"ITP",0
"GLOBAL",1950-01-01,"JAI",0
"GLOBAL",1950-01-01,"JAN",302000
"GLOBAL",1950-01-01,"JAP",225600
"GLOBAL",1950-01-01,"JAS",10000
"GLOBAL",1950-01-01,"JAX",67400
"GLOBAL",1950-01-01,"JCM",0
"GLOBAL",1950-01-01,"JDP",0
"GLOBAL",1950-01-01,"JEL",300
"GLOBAL",1950-01-01,"JFL",10000
"GLOBAL",1950-01-01,"JFY",0
"GLOBAL",1950-01-01,"JJM",71600
"GLOBAL",1950-01-01,"JKX",1400
"GLOBAL",1950-01-01,"JOD",0
"GLOBAL",1950-01-01,"JOS",0
"GLOBAL",1950-01-01,"JRI",0
"GLOBAL",1950-01-01,"JSC",12800
"GLOBAL",1950-01-01,"JSP",200
"GLOBAL",1950-01-01,"KAF",6000
"GLOBAL",1950-01-01,"KAW",25063
"GLOBAL",1950-01-01,"KBR",0
"GLOBAL",1950-01-01,"KCD",22300
"GLOBAL",1950-01-01,"KCP",1200
"GLOBAL",1950-01-01,"KCR",0
"GLOBAL",1950-01-01,"KCS",17800
"GLOBAL",1950-01-01,"KEF",0
"GLOBAL",1950-01-01,"KEM",0
"GLOBAL",1950-01-01,"KGB",0
"GLOBAL",1950-01-01,"KGF",68
"GLOBAL",1950-01-01,"KGG",1432
"GLOBAL",1950-01-01,"KGM",4743
"GLOBAL",1950-01-01,"KGX",3900
"GLOBAL",1950-01-01,"KHG",0
"GLOBAL",1950-01-01,"KIC",134
"GLOBAL",1950-01-01,"KIW",0
"GLOBAL",1950-01-01,"KLA",1000
"GLOBAL",1950-01-01,"KOB",1600
"GLOBAL",1950-01-01,"KOY",0
"GLOBAL",1950-01-01,"KPC",0
"GLOBAL",1950-01-01,"KRI",0
"GLOBAL",1950-01-01,"KUG",21800
"GLOBAL",1950-01-01,"KUP",1000
"GLOBAL",1950-01-01,"KYX",0
"GLOBAL",1950-01-01,"LAA",1000
"GLOBAL",1950-01-01,"LAC",0
"GLOBAL",1950-01-01,"LAD",224
"GLOBAL",1950-01-01,"LAG",0
"GLOBAL",1950-01-01,"LAI",0
"GLOBAL",1950-01-01,"LAS",100
"GLOBAL",1950-01-01,"LAT",3328
"GLOBAL",1950-01-01,"LBA",33122
"GLOBAL",1950-01-01,"LBC",19200
"GLOBAL",1950-01-01,"LBE",3000
"GLOBAL",1950-01-01,"LBT",400
"GLOBAL",1950-01-01,"LCX",0
"GLOBAL",1950-01-01,"LDB",0
"GLOBAL",1950-01-01,"LEC",0
"GLOBAL",1950-01-01,"LEE",0
"GLOBAL",1950-01-01,"LEF",0
"GLOBAL",1950-01-01,"LEM",7400
"GLOBAL",1950-01-01,"LEN",0
"GLOBAL",1950-01-01,"LES",0
"GLOBAL",1950-01-01,"LEZ",2700
"GLOBAL",1950-01-01,"LFZ",0
"GLOBAL",1950-01-01,"LGO",0
"GLOBAL",1950-01-01,"LHN",0
"GLOBAL",1950-01-01,"LHT",167300
"GLOBAL",1950-01-01,"LIG",21000
"GLOBAL",1950-01-01,"LIJ",0
"GLOBAL",1950-01-01,"LIN",29200
"GLOBAL",1950-01-01,"LIO",0
"GLOBAL",1950-01-01,"LIX",2400
"GLOBAL",1950-01-01,"LJI",0
"GLOBAL",1950-01-01,"LJU",0
"GLOBAL",1950-01-01,"LKT",0
"GLOBAL",1950-01-01,"LKW",0
"GLOBAL",1950-01-01,"LMA",0
"GLOBAL",1950-01-01,"LNJ",68680
"GLOBAL",1950-01-01,"LNM",0
"GLOBAL",1950-01-01,"LNZ",0
"GLOBAL",1950-01-01,"LOA",6000
"GLOBAL",1950-01-01,"LOJ",1000
"GLOBAL",1950-01-01,"LOK",300
"GLOBAL",1950-01-01,"LOQ",200
